selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
1,35,keep_random_A,keep_random_A_13,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006390511416963578,1.2803554322784128,13071.148508366505,2.4089041436393774,1.0023006001587575,,,
1,35,keep_random_A,keep_random_A_14,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00794843297056518,1.5924890306822173,10509.156217946067,2.1795550505013295,1.0008136816758215,,,
1,35,keep_random_A,keep_random_A_15,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00475239138482023,0.9521538620079412,17576.69287137266,1.4138036785781558,1.001844583104135,,,
1,35,keep_random_A,keep_random_A_16,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006642927293868578,1.3309276037529447,12574.4750891135,1.9947908101893503,1.001817408045528,,,
1,35,keep_random_A,keep_random_A_17,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.005901549095361246,1.1823905709715108,14154.13519836684,1.3782341907758053,1.001796421665122,,,
1,35,keep_random_A,keep_random_A_18,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006812776071632387,1.3649572441192035,12260.981851929257,1.7605125957833403,1.0011556067596266,,,
1,35,keep_random_A,keep_random_A_19,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.009688673826423529,1.9411507711739906,8621.543595340261,2.4639972075499914,1.0023837030270824,,,
2,184,base,base,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.060088668259285584,6.8334183342087105,1.0,1.4892149869369686,0.0,32.60679904725819,32.60630327005375,0.0
2,184,keep_Q,keep_Q,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.008948763558291464,1.017673493841794,6.714745324074466,0.16308680843742693,0.8826409729719376,0.19383107007222372,0.1605335789924938,32.59704518868611
2,184,remove_Q,remove_Q,1,8,47,40,1,1,47,1,47,0.03712078706501161,1.6024907682687707e-29,1.0,0.00879335426582568,0.060088668259285584,0.17678259954889333,20.104114335065262,0.33990148585108154,2.4385823494829126,1.7076316545785306,12.224953565145947,12.239488208943701,31.47145616374249
