selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
169,168,168,0,1,base,base,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,0.06724409325508171,1.031658262888982,1.0,0.08706358661919003,0.0,0.06302599457748566,0.08437239959385795,0.0
169,168,168,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,0.07509083349986342,1.152042879862917,0.8955033540172918,0.1657399420906836,0.1544068906734919,0.17925724671329785,0.1658304039490628,0.19342060577006187
169,168,168,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,1.2218235939751512,18.745206389141394,0.05503584444322761,0.9861475647795473,0.9737252175829298,0.7256697950153846,0.7238057252964494,0.7343825294687669
169,168,168,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,1.1948942709347294,18.33205696167762,0.056276186848296376,0.9531448355237112,0.9520469924690085,,,
169,168,168,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,0.12173022626966254,1.8675840166073212,0.5524025980705846,0.2256225294208708,0.22234255537778383,,,
169,168,168,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_smooth,7.037450313568115,-0.5835606455802917,,47,40,20,20,47,20,47,0.0459412032737378,8.727391238257609e-28,1.0,0.06518058903224035,0.06724409325508171,0.07509083349986342,1.152042879862917,0.8955033540172918,0.1657399420906836,0.1544068906734919,,,
170,169,169,0,1,base,base,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,0.20588300194137626,1.1575277402390798,1.0,0.1228766735424242,0.0,0.12228487360211354,0.13970397181580693,0.0
170,169,169,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,0.21771785032340948,1.2240663333941757,0.9456413501949743,0.1873176145013582,0.1538089064722205,0.21352504093423316,0.2077597349807101,0.21523266057978474
170,169,169,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,0.8227501198299854,4.625714983791677,0.25023758365896115,0.7480763529531349,0.7218311604536746,0.7021899873605009,0.7022107164396784,0.6879994367655495
170,169,169,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,1.2425524896454916,6.9859530019740586,0.1656936054267744,0.9470356403149567,0.9429755088809743,,,
