bank_index,base_mse,krr_mse,base_mse_ratio,sampling_mode,profile,tau_actual,log10_lambda1,lambda1,gamma,n_ctx_actual,n_tgt_actual,spectrum_batch_size,bank_batch_index,bank_batch_member,bank_batch_size
87,0.04660181889235799,0.036321427892018567,1.2830392855397208,fixed_target_rich,minimal_smooth,6.909275531768799,0.222092866897583,1.667603764701601,,47,40,1,87,0,1
88,0.019054575673807722,0.019195431396705247,0.9926620183737208,fixed_target_rich,minimal_smooth,3.4389424324035645,-0.6227693557739258,0.23835850027334826,,47,40,1,88,0,1
89,0.20016589075406083,0.16099929988265158,1.2432718086349246,fixed_target_rich,minimal_smooth,12.656927108764648,-0.5138235688209534,0.3063207602311178,,47,40,1,89,0,1
90,0.1275619534327228,0.12418667086448139,1.0271791050097856,fixed_target_rich,minimal_step,3.8366506099700928,-0.9447267055511475,0.11357252842832542,,47,40,1,90,0,1
91,0.04870636578029626,0.03339057085828656,1.4586862257315605,fixed_target_rich,minimal_step,0.602366030216217,-1.7251020073890686,0.01883206708640849,,47,40,1,91,0,1
92,0.13152727725271027,0.12728349003210165,1.033341222962525,fixed_target_rich,minimal_step,10.06011962890625,-0.5813798308372498,0.2621924424034942,,47,40,1,92,0,1
93,0.2519394568077309,0.22310987331015236,1.1292169775808243,fixed_target_rich,minimal_smooth,5.625644683837891,-1.5372077226638794,0.029026339951390916,,47,40,1,93,0,1
94,0.29529065168987706,0.2677882936280376,1.1027018682901828,fixed_target_rich,minimal_step,5.809636116027832,-0.9044839143753052,0.12459943862036349,,47,40,1,94,0,1
95,0.09823537246643696,0.09709991168130441,1.0116937365387035,fixed_target_rich,minimal_step,5.15799617767334,0.7732741236686707,5.932996930747221,,47,40,1,95,0,1
96,0.181677163984503,0.16590204592433305,1.0950869410457114,fixed_target_rich,minimal_step,7.152170181274414,-0.036490678787231445,0.9194102077882982,,47,40,1,96,0,1
97,0.08460088557849879,0.03722085189065649,2.2729432906863707,fixed_target_rich,minimal_step,8.391440391540527,0.6843057870864868,4.833990438906649,,47,40,1,97,0,1
98,0.10401748796475771,0.11789602713753826,0.8822815364542372,fixed_target_rich,minimal_step,11.555498123168945,-0.18556338548660278,0.6522838329142769,,47,40,1,98,0,1
99,0.1950384380690815,0.11528437900944881,1.691802824848421,fixed_target_rich,minimal_smooth,11.805641174316406,0.6765143275260925,4.748039546309158,,47,40,1,99,0,1
100,0.09953312170937087,0.09217540496867468,1.0798229933808987,fixed_target_rich,minimal_smooth,2.005620241165161,-1.7757743000984192,0.016758135587222073,,47,40,1,100,0,1
101,0.11985817958055316,0.10403764950602341,1.152065431597566,fixed_target_rich,minimal_step,3.5524349212646484,0.5426105856895447,3.488273957799542,,47,40,1,101,0,1
102,0.1916438932241898,0.1511498616766341,1.2679065074779063,fixed_target_rich,minimal_step,7.863061428070068,0.3392953872680664,2.184215010012891,,47,40,1,102,0,1
103,0.3783982889388331,0.31300020509694837,1.208939428080018,fixed_target_rich,minimal_smooth,12.436120986938477,-1.2119770050048828,0.06137945034546544,,47,40,1,103,0,1
104,0.17518474005636098,0.16941642032814117,1.0340481738254603,fixed_target_rich,minimal_smooth,13.785896301269531,-0.12546062469482422,0.7490992725105975,,47,40,1,104,0,1
105,0.3012614262194685,0.27535156848126574,1.0940973675258567,fixed_target_rich,minimal_step,14.150120735168457,0.06618410348892212,1.1646196232862118,,47,40,1,105,0,1
106,0.13267055407781142,0.09212672476664974,1.4400876012238168,fixed_target_rich,minimal_smooth,14.736251831054688,-0.05500221252441406,0.8810443844932914,,47,40,1,106,0,1
107,0.0841090697959898,0.07026501752239757,1.1970262409623582,fixed_target_rich,minimal_step,8.023884773254395,-0.3472312092781067,0.4495404652558857,,47,40,1,107,0,1
108,0.1638401963942842,0.1542614605154146,1.0620941604394603,fixed_target_rich,minimal_step,6.156327724456787,0.0977553129196167,1.252435337990965,,47,40,1,108,0,1
109,0.18617189807005757,0.1546843917221547,1.2035596869040348,fixed_target_rich,minimal_step,8.064628601074219,-0.2682228088378906,0.5392339049659848,,47,40,1,109,0,1
110,0.13153448995960954,0.08710676698191541,1.5100375609958976,fixed_target_rich,minimal_smooth,8.530664443969727,-0.15382516384124756,0.7017377437288421,,47,40,1,110,0,1
111,0.23963657575528008,0.2764490477870639,0.8668381304748106,fixed_target_rich,minimal_smooth,8.987027168273926,-1.4591214656829834,0.03474389743587574,,47,40,1,111,0,1
112,0.10553735915851384,0.1107575011915533,0.9528687269315393,fixed_target_rich,minimal_smooth,6.399943828582764,-1.5110699534416199,0.030826913695925922,,47,40,1,112,0,1
113,0.07957801353934035,0.049245136482172394,1.6159568075955886,fixed_target_rich,minimal_smooth,7.899198055267334,-0.5629809498786926,0.27353887102025737,,47,40,1,113,0,1
114,0.09484404764076271,0.07864692454548874,1.2059473169342518,fixed_target_rich,minimal_smooth,11.293458938598633,0.7634618878364563,5.800452675468042,,47,40,1,114,0,1
115,0.21011377026304104,0.1995945912774884,1.0527027256511587,fixed_target_rich,minimal_step,5.382761478424072,-0.821291983127594,0.15090652443280342,,47,40,1,115,0,1
116,0.10967662136814309,0.03979407822804244,2.7561040801004206,fixed_target_rich,minimal_smooth,11.19288444519043,0.7705665230751038,5.896122840347528,,47,40,1,116,0,1
117,0.13271942442148008,0.1273629779031906,1.0420565426976822,fixed_target_rich,minimal_smooth,9.158590316772461,-1.0565124154090881,0.08779859872818385,,47,40,1,117,0,1
118,0.5566813948044286,0.35254420282946947,1.5790399908340094,fixed_target_rich,minimal_step,14.910560607910156,0.4191629886627197,2.625203585007543,,47,40,1,118,0,1
119,0.39001826124983846,0.12855373221679844,3.0338929451857157,fixed_target_rich,minimal_step,7.612765789031982,0.9171531796455383,8.263293521225672,,47,40,1,119,0,1
120,0.01666962379788101,0.013842053342760115,1.2042739169618801,fixed_target_rich,minimal_step,0.6083336472511292,-1.9039238095283508,0.012476023682217252,,47,40,1,120,0,1
121,0.46330488555422483,0.30413322190345254,1.5233616461055397,fixed_target_rich,minimal_step,14.473721504211426,0.07451057434082031,1.187163606130532,,47,40,1,121,0,1
122,0.17323978200757734,0.12013654646495966,1.4420239894119675,fixed_target_rich,minimal_smooth,12.470768928527832,0.6266470551490784,4.232988173929266,,47,40,1,122,0,1
123,0.20672116792492473,0.1700349252744307,1.2157571016147632,fixed_target_rich,minimal_smooth,12.063228607177734,-1.031454861164093,0.09301331840627096,,47,40,1,123,0,1
124,0.16315291528363346,0.13684494767163025,1.1922465393105426,fixed_target_rich,minimal_smooth,3.9920334815979004,-1.656785786151886,0.022040133148883714,,47,40,1,124,0,1
125,0.03856852198861214,0.03015191512186563,1.2791400424393917,fixed_target_rich,minimal_smooth,2.1089529991149902,-1.104239821434021,0.07866112956996504,,47,40,1,125,0,1
126,0.19251490034385707,0.1756453503238042,1.096043248448955,fixed_target_rich,minimal_step,8.024283409118652,-0.5492660999298096,0.28231496510195603,,47,40,1,126,0,1
127,0.0720043048881729,0.08359532691421606,0.8613436605381345,fixed_target_rich,minimal_smooth,2.2243359088897705,-1.8494161367416382,0.014144378298826907,,47,40,1,127,0,1
128,0.49522847784072976,0.29266340319979384,1.6921435082973115,fixed_target_rich,minimal_step,14.720426559448242,0.7695403099060059,5.882207084841926,,47,40,1,128,0,1
129,0.1311913525581723,0.06785171495723936,1.9335009091641977,fixed_target_rich,minimal_smooth,11.381921768188477,0.9982848167419434,9.960584330458012,,47,40,1,129,0,1
130,0.15289357837553266,0.1481514582642071,1.0320085955743254,fixed_target_rich,minimal_step,7.414311408996582,0.0046433210372924805,1.01074900164604,,47,40,1,130,0,1
131,0.03943524668281566,0.03736548470072377,1.0553923493477873,fixed_target_rich,minimal_step,0.9889276027679443,-1.6053799986839294,0.024809613654691996,,47,40,1,131,0,1
132,0.06559324023390856,0.06350622168450325,1.0328632139347471,fixed_target_rich,minimal_smooth,5.38391637802124,-0.7123224139213562,0.19394455267951946,,47,40,1,132,0,1
133,0.27731654870251954,0.26881290804622704,1.0316340488189286,fixed_target_rich,minimal_step,6.534492015838623,0.3822302222251892,2.411183273316296,,47,40,1,133,0,1
134,0.1703924474133851,0.12633739188700432,1.348709553587931,fixed_target_rich,minimal_step,8.243692398071289,0.5081082582473755,3.221871819509582,,47,40,1,134,0,1
135,0.2884757466945236,0.21185601209745783,1.361659477295453,fixed_target_rich,minimal_smooth,13.228067398071289,-1.3029414415359497,0.04978042023048783,,47,40,1,135,0,1
136,0.1319661168118317,0.10515350067186495,1.254985482828921,fixed_target_rich,minimal_smooth,11.054397583007812,0.308552622795105,2.034944752041822,,47,40,1,136,0,1
137,0.17516960734191148,0.1275183412859401,1.373681664734964,fixed_target_rich,minimal_step,10.161993980407715,0.7919285297393799,6.193391443032861,,47,40,1,137,0,1
138,0.10425159479142825,0.09646569113157061,1.0807116350748822,fixed_target_rich,minimal_step,2.6659650802612305,-1.0518596768379211,0.08874427038006213,,47,40,1,138,0,1
