checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,r_eff_T_task_strict,excess_risk_frac,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rank_tau_task,krr_risk_total,krr_signal_total,krr_risk_per_tgt,krr_signal_per_tgt,krr_risk_over_signal
rbf_elbow_scratch_nctx47_ntgt64,15,raw,11,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.04293892542777457,0.05416124573867904,0.030371766679772115,0.16754853828526087,0.17165557479837099,0.998252788774966,0.9999999999999998,0.16784179335046479,0.17165557479819935,0.9718291324048999,0.9705343636406998,-0.984256670887861,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,12,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.042722642632845816,0.05402934218295197,0.030371766679772115,0.16144582119606335,0.16549759109046316,0.998252788774966,0.9999999999999998,0.16172839486281265,0.16549759109029769,0.9738439262950982,0.9726105473433087,-0.9830451935055021,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,13,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.018690438305609288,0.029394196754556113,0.030371766679772115,0.154519906972628,0.15782381923808175,0.998252788774966,0.9999999999999998,0.15479035842423908,0.15782381923792396,0.9760399449388956,0.9750916420811551,-0.9813111228228232,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,14,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.018691375911874582,0.029395253454077085,0.030371766679772115,0.14190898556818862,0.1460061783178703,0.998252788774966,0.9999999999999998,0.1421573645110414,0.1460061783177243,0.9797912837152749,0.9786821958930529,-0.9781449034041112,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,15,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.018347389632299017,0.02946440558536033,0.030371766679772115,0.12990239957731672,0.13503101663137423,0.998252788774966,0.9999999999999998,0.13012976376114108,0.13503101663123923,0.9830662445834696,0.981766624547534,-0.9744555896343658,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,16,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.015597644418063467,0.028365731166418766,0.030371766679772115,0.1177610213975162,0.12404959587070331,0.998252788774966,0.9999999999999998,0.11796713489968004,0.12404959587057927,0.9860837550835607,0.984611697764346,-0.9697807528509238,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,17,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.015606695479913968,0.028369054324433412,0.030371766679772115,0.10549562318088453,0.10906899469086045,0.998252788774966,0.9999999999999998,0.10568026893292307,0.1090689946907514,0.9888316807582651,0.9881039543971488,-0.9604705637952436,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,18,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.011504024539322914,0.025797270548502456,0.030371766679772115,0.08663448338443219,0.09128346264700027,0.998252788774966,0.9999999999999998,0.08678611706225368,0.091283462646909,0.9924681698852568,0.9916673294471904,-0.9430451739890647,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,19,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.011348108950975344,0.02566350936451123,0.030371766679772115,0.08040729351660747,0.0835389570681194,0.998252788774966,0.9999999999999998,0.08054802793508946,0.08353895706803587,0.993512015195768,0.9930212426519849,-0.9320665715720623,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,20,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.009256961645358538,0.024103848962554204,0.030371766679772115,0.07335125465066564,0.07446790043656754,0.998252788774966,0.9999999999999998,0.0734796391008406,0.07446790043649308,0.9946007426376102,0.9944545318045805,-0.9156770074418054,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
