checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx5,2.0,4,16.75,14.221462653327892,5.0,0.0,2.0,0.0,5.811854015042542,1.7357268141609234,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.351327274000843,1.8406799569544148,15.0,10.739335795724674,0.9884282344040272,0.02314353119121613,0.9999999999997191,1.7201284301195695e-13,6.920270442570457e-11,3.973623304195205e-11,0.05378607074419955,0.10757214131048279,2.7064311345233816,2.089143580081571
dx5,3.0,4,15.0,21.36976056643281,5.0,0.0,3.0,0.0,4.844663625205978,2.8133121143126902,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.350903055331771,1.802444500744422,3.25,2.5,0.7499999999992226,0.4999999999994817,0.7499999999992226,0.4999999999994817,5.721611030616816e-11,4.3479698469514444e-11,5.721611030616816e-11,4.3479698469514444e-11,0.7488500363301829,0.5109362578408126
dx5,4.0,4,3.25,2.0615528128088303,5.0,0.0,4.0,0.0,2.648885344884639,1.501752684649724,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.397109391175845,1.2850137878339694,3.0,1.8257418583505538,0.9925759671228731,0.014848065751114062,0.9999999999987924,1.0187283343643014e-12,4.031603881670006e-11,3.286929635013933e-11,0.04308141388488069,0.08616282766637351,1.3844147834491702,1.0268132957294855
dx5,5.0,4,42.0,0.0,5.0,0.0,5.0,0.0,3.2656665759575416,1.1448050398751102,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.7872500646397111,0.48763578964333804,18.5,9.291573243177568,0.9521893121986703,0.0005286527126649995,0.9999999999999931,5.490461644603987e-15,1.3117646655199372e-12,6.697596301963465e-13,0.21865404727244997,0.0012085322779760623,14.102500594106775,4.473952691534212
dx5,6.0,4,42.0,0.0,5.0,0.0,6.0,0.0,3.9702055809878347,1.3544244754702404,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.07759258290775,0.6046889028780766,22.0,8.831760866327848,0.9516012456821198,0.0008250959612267796,0.9999999999999916,7.55468495455837e-15,1.1364358564366623e-12,3.7359059323600304e-13,0.21999119668106504,0.0018717908375962627,12.94964561791212,4.2255796509875925
dx5,7.0,4,42.0,0.0,5.0,0.0,7.0,0.0,7.087587555216757,1.7665627146340483,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.9220710619723596,1.8322932004805674,34.0,3.4641016151377544,0.9539992314222759,0.003549463390183586,0.9999999999999892,7.3925070807741e-15,1.1667048068993457e-12,1.8897081481976034e-13,0.21435315543162656,0.008445380134973382,10.547444414638411,2.6135412920467065
dx5,8.0,4,42.0,0.0,5.0,0.0,8.0,0.0,6.322826054144025,1.5207095556842718,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.3366549848033435,1.3125650384557268,31.25,4.5,0.9526160706142068,0.0019966043151030508,0.9999999999999919,6.451405277263584e-15,1.2379888197494939e-12,3.6381700324986494e-13,0.2176415453016003,0.004631363300591356,12.590529613242518,3.4280297039187815
dx8,0.0,4,8.0,0.0,8.0,0.0,0.0,0.0,4.087902757635305,0.4818842671932051,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.3643121921746095,0.4879965795776666,7.5,0.5773502691896257,0.9875746299826806,0.01567447524580135,0.9997984243843705,0.0003465490376558824,0.010635128188426105,0.010860918564295587,0.08584451989283659,0.08372366378257762,3085.00994718369,2425.9461648933097
dx8,1.0,4,38.5,1.0,8.0,0.0,1.0,0.0,3.0774154059590364,2.81490617200359,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.9918488459674621,1.3916953137462782,11.5,13.771952173409064,0.9755602230369054,0.026491876540781344,0.9999840582624147,3.0690976719858407e-05,0.0023038871610565445,0.00376542897635087,0.1283509107403986,0.10316159514191776,214.09682816407113,281.3728387938763
dx8,2.0,4,20.5,14.798648586948742,8.0,0.0,2.0,0.0,6.910234685576542,5.227950052393829,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,5.070442051071983,4.217903113838557,17.0,11.430952132988164,0.976409801918834,0.02725739656447317,0.99999999999794,3.864594608849227e-12,3.3273674172322595e-11,5.22345200458492e-11,0.10859637714931492,0.12541677160119472,4.1671022483844355,3.900014663135125
