selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
35,3,keep_Q,keep_Q,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,1601.6587926243424,213135.41896403913,130.66498582628685,766.0698560562083,0.9290206266623706,3130.880935080745,3130.8964104784754,10880.985076109375
35,3,remove_Q,remove_Q,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,0.011946607928970704,1.5897551325324548,17518003.828459,0.8946127417709075,1.0000684411865621,1.4774203568680424,1.72097705289613,11351.097466472436
35,3,zero_context,zero_context,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,0.013699838936635617,1.8230605200970138,15276144.80759744,0.9529943628683648,1.000008895794823,,,
35,3,keep_response_svd,keep_response_svd,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,1601.65315729963,213134.6690619382,130.6654455635404,766.0685082920312,0.9290207570581478,,,
35,3,keep_krr_oracle,keep_krr_oracle,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,1.1789196256296612,156.88080975211773,177519.0766928072,20.493117826691595,0.9987645902317157,,,
35,3,keep_random_A,keep_random_A_00,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,30.978611736915685,4122.375765598176,6755.65210003965,107.29228252249762,1.0003205086114024,,,
35,3,keep_random_A,keep_random_A_01,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,0.04161345038273241,5.537571561874576,5029160.560155062,3.4557030282404706,1.000153649692822,,,
35,3,keep_random_A,keep_random_A_02,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,0.516062173340897,68.67325802038181,405533.93418076023,13.955818866442963,0.9998457453450015,,,
35,3,keep_random_A,keep_random_A_03,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,217.10715629576754,28890.813031014026,963.9512902637898,282.26358250068296,0.9957451158607381,,,
35,3,keep_random_A,keep_random_A_04,1,8,47,40,5,24,24,,24,0.09115316229661362,0.09115316229661362,0.0,0.007514747198796551,209280.7234368074,942.2111347745162,125381.6142910844,222.11658906672878,587.647270827619,0.9419901075685287,,,
