selection_rank,bank_index,name,replicate,state_idx,basis_layer,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
4,159,keep_krr_oracle,keep_krr_oracle,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,4748796282687535.0,4.131795953168647e+17,3.727658484771098e-17,4621753.557491427,4715167.029031082,,,
4,159,keep_random_A,keep_random_A_00,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,2.08390403670789e+16,1.8131471120484813e+18,8.494580577508134e-18,9681750.177915303,9877434.757781973,,,
4,159,keep_random_A,keep_random_A_01,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,449524476320008.6,3.911187807488178e+16,3.937914771743813e-16,1421974.0952858366,1450714.6011702216,,,
4,159,keep_random_A,keep_random_A_02,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,5.962648507534333e+16,5.187935111769981e+18,2.968796623386694e-18,16377010.158042662,16708017.293192696,,,
4,159,keep_random_A,keep_random_A_03,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,6611881774076374.0,5.752814972618157e+17,2.6772848275984865e-17,5453528.086506585,5563753.131160871,,,
4,159,keep_random_A,keep_random_A_04,1,8,train_distribution,minimal_smooth,14.485552787780762,1.5232555866241455,8,116,8,8,8,32,,8,0.30488990865654175,0.30488990865654175,0.0,0.011493298160200081,0.1770189075560964,3.5417809146628704e+16,3.081605354090295e+18,4.99801969182349e-18,12621932.71320505,12877043.361824442,,,
5,185,base,base,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,0.30387237469487305,15.33450987512643,1.0,0.0372061569369722,0.0,0.03263389871655009,0.031057929931631322,0.0
5,185,keep_Q,keep_Q,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,363883905082845.9,1.8362910881568252e+16,8.35080558525088e-16,1510379.6216176008,1529377.5645513108,409062912.7045882,409062912.7058746,409062912.70754176
5,185,remove_Q,remove_Q,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,1890640514715901.0,9.540862565192656e+16,1.6072456520933846e-16,3442779.231394625,3486083.465630211,668945678.8144306,668945678.8165218,668945678.8165445
5,185,zero_context,zero_context,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,142.09035638918095,7170.398346996864,0.002138585491773814,0.9446618331757342,0.9439235164404745,,,
