exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,2.0,1.0,10.0,16.0,3.3209248776854747,5.590476789915687,9.872137267463664,0.8697496084457066,0.9518087292049557,0.4149273797410388,0.3609021911187063,"[2.794100262454166, 1.3568603283678466, 1.1599758379258132, 1.0019992752514073, 0.9418134571781354, 0.853925292441287, 0.7523337718125647, 0.6522809130136891]",0.06262367716929375,0.005010683317717021,0.06262367716929375,0.06262367716929375,[0],"[0.06262367716929375, 0.0004973456073079354, 0.001474635400690496, 0.001584614703570769, 0.0003610817287573089, 0.0006818690120162467, 0.0009162277995254077, 0.0020334930987681455, 0.001270194214172305, 0.0019419195828497301, 0.0012420147545660696, 0.0009622301430162864, 0.0015756444509398867, 0.0007169340540789093, 0.0013441583601712277, 0.0009448930037478686]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,15.0,16.0,6.5983140593649985,8.299040917965076,5.39031620132288,0.5868304660167909,0.975566019166027,0.6538410650476053,0.6427826490993473,"[1.3461887063945703, 1.1425078239192685, 0.9815636779963841, 0.9322118838662444, 0.8434077913672366, 0.7424037697184722, 0.6438759922582272, 0.35906546460053534]",0.002031062909884694,0.001115122283036724,0.0,0.0,[],"[0.0007228026266890985, 0.0014801601511250865, 0.0013765612228211555, 0.0004231164193646579, 0.000508796469212504, 0.0012214741126689447, 0.002031062909884694, 0.0014639513600830714, 0.001971943056213028, 0.0014439944375539328, 0.0007493644332912958, 0.001198141788146958, 0.0008008692724474898, 0.0008489621941785388, 0.0008049523335593246, 0.000795803741347804]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,14.0,16.0,5.939719159932931,8.262948747573729,6.028013105684293,0.6459004539296318,0.9552180407783841,0.6188895166824321,0.595062640459255,"[1.97173703935821, 1.372364480645499, 1.1932823514140334, 1.1058789095044874, 0.9404934282879013, 0.8868210807128175, 0.8178265763214911, 0.6361370707503086]",0.006872258770769377,0.0014348193696523625,0.0,0.0,[],"[0.006872258770769377, 0.0007306725805383903, 0.0005795207729045405, 0.0017941759899319154, 0.00048819295811140426, 0.00045035043490210334, 0.0006411171507830712, 0.001993702761022268, 0.000860395630878003, 0.001827240216442861, 0.0019308883967440555, 0.0014627248436149853, 0.0007776790216423919, 0.0010530469166515238, 0.0006295650208580887, 0.00086557844864282]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,5.0,0.0,15.0,16.0,6.266834215893453,8.71959194747233,6.137768989435117,0.6460129138362817,0.9820523739165218,0.6046333470677064,0.5949681387802979,"[2.1158953912294445, 1.587935162073262, 1.2187717786330878, 1.179503575355794, 1.1053525583583994, 0.884156992632094, 0.8811258069439364, 0.8131786641694924]",0.008255376149332045,0.0015128173924662057,0.0,0.0,[],"[0.008255376149332045, 0.000585542095990478, 0.0007340900585102756, 0.0006550208364216366, 0.0013260132063939508, 0.0005265132324453769, 0.00046493059694150725, 0.00069394872453988, 0.0018292648785608694, 0.0011882274426209957, 0.002249322067658504, 0.0019753349230073607, 0.0011208555309807759, 0.001176878762648154, 0.0008511591438379282, 0.0005726006295695522]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,6.0,1.0,7.0,16.0,1.6587663864365905,2.917613113102658,14.283355668195977,0.9237395232126019,0.9514609960718182,0.3479911969191487,0.2761529952533435,"[7.075111723300759, 1.7103549820703468, 1.6228801644928341, 1.366470537772597, 1.2253826057769515, 1.1084972186819266, 1.039991761480465, 0.9044367905883673]",0.17191354116529456,0.011741125802533862,0.17191354116529456,0.17191354116529456,[0],"[0.17191354116529456, 0.0006605103462412063, 0.0006678977336877573, 0.0009935733493488064, 0.000305217221347789, 0.0013528717428786339, 0.000533674263810357, 0.0005471513331338409, 0.0005153474076842652, 0.0009256491157321651, 0.0007408704148758201, 0.0018834157077210903, 0.002503672647626222, 0.00190535203983392, 0.0009766634419887989, 0.0014326049093365475]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,7.0,0.0,12.0,16.0,2.8392030202369916,5.317882848103506,11.274966979316604,0.8345642913554687,0.96180443102897,0.4441985666295452,0.40673788690571155,"[5.021204152168829, 1.9382619946448358, 1.7541588412538585, 1.6204242145402576, 1.3838655673031275, 1.264521008057385, 1.1766084960179135, 1.043118980813379]",0.009515105849217036,0.0016384576629435532,0.0,0.0,[],"[0.009515105849217036, 0.0007266534173982485, 0.000670380978826864, 0.0006177288549071251, 0.00040521057434318215, 0.0013184683795312375, 0.0007342201160863843, 0.0002068633295260624, 0.0007986586048806037, 0.0010113082803523787, 0.000742368312981385, 0.0025430003984985607, 0.002478775214077374, 0.0019160395625164432, 0.0008576533461239858, 0.00167288738782998]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,8.0,0.0,12.0,16.0,2.550713551735867,4.836394998691091,12.262748506994372,0.8530433954628688,0.9655811131934672,0.41990166540109736,0.38334919399566325,"[5.549041853233975, 1.9849055174412675, 1.783739956110419, 1.6568478104375184, 1.4224538603263877, 1.2785985947072334, 1.2047288214226661, 1.0675102738146556]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,0.0,3.0,3.0,4.0,1.527506811137146,1.8838970662186063,3377.6438947271577,0.9999905739867827,0.9999997388200353,0.003112425215176752,0.0030701813003972934,"[1836.155113975006, 791.3192389302745, 501.88190339922585, 2.095343635408, 1.818854056056646, 1.763579286793715, 1.6702640296874134, 1.388538547940301]",1.9968358836941782,0.876047752620989,0.34141309752026133,3.503254213975258,"[0, 1, 2]","[1.9968358836941782, 1.1650052327608182, 0.34141309752026133, 0.0009367965086977349]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,14.0,16.0,5.606048550095324,8.581662746001138,9.792453241330017,0.6627165011207058,0.9606862503649521,0.6027747253189604,0.5807611375421774,"[2.8986522995572623, 2.2757283760667097, 1.4580930766105613, 1.3177846226789505, 1.3073907173839294, 1.1489200070510859, 1.0620828338516977, 1.0009726787852968]",0.10260962088953636,0.009426410061309995,0.10260962088953636,0.10260962088953636,[1],"[0.02385626772886612, 0.10260962088953636, 0.004255619329658428, 0.001016147553969058, 0.0030605057856199517, 0.0007734431749735483, 0.003438394770840136, 0.0009785403767538206, 0.0014656629261318318, 0.0013071541271239835, 0.001354627928185675, 0.001860039268146581, 0.0012122630987668115, 0.0013533845948830333, 0.0012470802238765373, 0.0010338092036280245]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,14.0,16.0,4.620291577159233,7.613950905912313,7.651543734204043,0.796330625076196,0.9601014655687411,0.48522345345937157,0.4512974350955109,"[2.856750488907925, 1.845015010426473, 1.343930167533395, 1.1856908320540211, 1.0730233587557512, 1.0524711165586311, 0.9122620245203296, 0.7184482487717551]",0.0346258791592421,0.0036802638767331154,0.0,0.0,[],"[0.0346258791592421, 0.0084763191923829, 0.0008426795897469656, 0.0015613322621907946, 0.0005589379425309917, 0.0011487426750827893, 0.0008469768943090381, 0.0017972807702139704, 0.0011076924367514865, 0.0012716508783869637, 0.0014764657496134615, 0.001384094580496218, 0.0016310446781377433, 0.0007524658493188805, 0.0007865529243669505, 0.0006161064449585893]"
