Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=40, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4, 8, 16]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
low_task                   2      7.0    0.00193      1.000      2.27302      0.23985
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      0.0    0.03477      1.022     19.61827     -2.80950
low_task                   4      1.0    0.03180      1.015     19.82203     -4.25328
low_task                   4      2.0    0.02983      0.984     16.79254      0.57847
low_task                   4      3.0    0.02427      0.990     15.34970      0.34802
low_task                   4      4.0    0.07871      0.941     27.68005    -18.37170
low_task                   4      5.0    0.01589      1.012     23.41696     -1.24330
low_task                   4      6.0    0.00858      0.994     17.69890      1.01869
low_task                   4      7.0    0.00303      1.001      3.48225     -0.03897
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
low_task                   8      0.0    0.08611      1.062     37.11158     13.44225
low_task                   8      1.0    0.07797      1.055     29.90041      7.12920
low_task                   8      2.0    0.07352      1.059     33.51591      5.15811
low_task                   8      3.0    0.06995      1.054     32.45354      6.27164
low_task                   8      4.0    0.03556      1.015     23.47869      7.54111
low_task                   8      5.0    0.04588      1.029     20.19056      2.25204
low_task                   8      6.0    0.01422      0.982     16.79654      0.76580
low_task                   8      7.0    0.00472      0.998      3.22345      0.15093
low_task                   8      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      0.0    0.41370      2.008    123.58284     63.53305
random_A                   1      1.0 254859.71622 5323247.122 2052449.12835 2052392.21330
random_A                   1      2.0 219489.24155 4242430.144 960165.36305 960134.06934
random_A                   1      3.0 10233.52023 213426.474   4750.17077   4713.48816
random_A                   1      4.0  459.95709   8166.117    669.73820    642.22470
random_A                   1      5.0    0.86548     11.146     50.95640     19.07856
random_A                   1      6.0    0.11924      1.662     19.21767      0.50718
random_A                   1      7.0    0.05648      1.116     25.84941     20.29547
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                  16      0.0    0.84865      9.208     78.86518    -39.54524
random_A                  16      1.0 186983.15245 3035576.926 35887921.50149 35887803.00642
random_A                  16      2.0 498565.39388 7661429.579 5349630.06619 5349511.59988
random_A                  16      3.0 91589.16399 1461553.764 426521.05506 426402.49749
random_A                  16      4.0 8682.20870 138421.245   7385.00326   7266.47742
random_A                  16      5.0  693.79829   8455.984   1602.04315   1529.19630
random_A                  16      6.0    2.83696     40.359     38.41455    -19.18571
random_A                  16      7.0    0.16287      1.763     23.59559     14.51557
random_A                  16      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      0.0    0.55573      2.199    146.95081     85.04762
random_A                   2      1.0 151325.81913 2568486.127 17005455.81256 17005394.94609
random_A                   2      2.0 569676.80017 9329725.099 11586333.58098 11586271.73649
random_A                   2      3.0 12942.64951 208467.541 232573.90132 232513.88067
random_A                   2      4.0 1470.13822  23960.745   1113.26672   1058.59123
random_A                   2      5.0   27.69764    271.555    228.87060    159.23246
random_A                   2      6.0    0.37195      5.955     16.44560      2.06021
random_A                   2      7.0    0.06962      1.457      8.60876     -1.22185
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      0.0 130192.12854 2408535.163 8507479.80074 8507362.77301
random_A                   4      1.0 507984.45644 9912963.722 79477925.18592 79477808.93382
random_A                   4      2.0 587611.80193 9980544.645 35297886.14848 35297767.83871
random_A                   4      3.0 92348.25547 1622440.270  79229.76917  79113.49234
random_A                   4      4.0 5279.28522  90000.114   9586.19524   9470.43244
random_A                   4      5.0  472.55635   6163.526   1642.87934   1577.07699
random_A                   4      6.0    2.65802     40.701     25.06709     -4.67583
random_A                   4      7.0    0.13963      1.639     24.53254     15.12434
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   8      0.0 151410.66825 3162521.908 1946439.00544 1946322.09246
random_A                   8      1.0 683345.13925 11891759.762 11950312.66377 11950195.50108
random_A                   8      2.0 339273.07475 5489032.695 15897479.38147 15897366.16086
random_A                   8      3.0 23074.25423 370394.629 1052230.84117 1052115.88830
random_A                   8      4.0 4326.12430  74899.497  39218.79027  39171.16429
random_A                   8      5.0  396.48350   4512.914    711.22870    649.06539
random_A                   8      6.0    1.01842     15.241     13.96441      4.76682
random_A                   8      7.0    0.11333      1.601     13.95872      3.69491
random_A                   8      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      0.0    0.28922      1.836     51.88290      7.55124
random_Q                   1      1.0    0.32095      1.807     48.65454    -18.50394
random_Q                   1      2.0    0.31410      1.683     60.73429    -54.32900
random_Q                   1      3.0    0.26296      1.588     51.05038    -21.01950
random_Q                   1      4.0    0.23167      1.337     60.77019    -55.73714
random_Q                   1      5.0    0.17898      1.402     44.02348     -0.13463
random_Q                   1      6.0    0.06241      1.133     12.72891     -2.21227
random_Q                   1      7.0    0.03553      1.023     12.71932      6.22765
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                  16      0.0    0.66734      5.419     59.46651    -57.28557
random_Q                  16      1.0    0.66740      5.441     59.18103    -55.71120
random_Q                  16      2.0    0.63674      4.959     59.49459    -58.22141
random_Q                  16      3.0    0.52800      3.865     59.63119    -58.86700
random_Q                  16      4.0    1.70764      4.458   1913.46445   1857.01308
random_Q                  16      5.0    0.58770      2.780     89.20321     41.83087
random_Q                  16      6.0    0.33699      2.096     45.18131    -19.47803
random_Q                  16      7.0    0.16731      1.322     23.52336      0.15242
random_Q                  16      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      0.0    0.18257      1.423     42.41725     15.64200
random_Q                   2      1.0    0.20362      1.441     45.80383     15.78920
random_Q                   2      2.0    0.24101      1.704     45.02831     25.84787
random_Q                   2      3.0    0.23497      1.531     52.42624     31.78376
random_Q                   2      4.0    0.19326      1.565     44.35530     18.70384
random_Q                   2      5.0    0.11863      1.578      8.18182      2.53999
random_Q                   2      6.0    0.07139      1.337      9.08028      1.34969
random_Q                   2      7.0    0.04015      1.174      4.13322      0.01843
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      0.0    0.35547      2.469     59.62229    -58.76300
random_Q                   4      1.0    0.36850      2.638     59.54508    -58.92304
random_Q                   4      2.0    0.40656      2.789     59.54658    -58.92411
random_Q                   4      3.0    0.32818      2.079     59.47499    -59.00717
random_Q                   4      4.0    3.56165      5.125   2606.31576   2550.07222
random_Q                   4      5.0    0.36459      1.778     57.08730     10.55409
random_Q                   4      6.0    0.21481      1.520     26.52937    -11.39620
random_Q                   4      7.0    0.09532      1.287     12.02569      0.56020
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   8      0.0    0.72769      6.456     59.61795    -58.91655
random_Q                   8      1.0    0.70307      5.939     59.72747    -58.59332
random_Q                   8      2.0    0.69288      5.420     59.71628    -58.64531
random_Q                   8      3.0    0.51310      3.244     59.54815    -58.97179
random_Q                   8      4.0    9.69707     11.691   1433.00963   1371.56360
random_Q                   8      5.0    0.46648      2.204     83.11526     21.94436
random_Q                   8      6.0    0.29305      1.699     41.94976    -16.06919
random_Q                   8      7.0    0.16080      1.186     18.56219     -8.43947
random_Q                   8      8.0    0.00000      1.000      0.00000      0.00000
