checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
L6,0.0,4,6.0,1.4142135623730951,5.0,0.0,0.0,0.0,3.3441558863455887,0.24653614238249663,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,2.7365615342685543,0.24317027158690807,5.0,0.0,0.99999970471414,4.296515874103538e-07,0.9999925289398275,5.354840275960931e-06,0.002580996215519785,0.0010389216896636688,0.00262340054435404,0.001085733021823439,2138.222897739402,1189.0270410210705
L6,1.0,4,42.0,0.0,5.0,0.0,1.0,0.0,3.6394230494102446,0.8893791427502235,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,2.0821635565853973,0.4386215626964864,29.5,4.795831523312719,0.9531851636032774,0.0020661427641917585,0.9999999999999782,1.0568716752692242e-14,8.809282751873268e-12,7.632045688656985e-13,0.21632769786576025,0.004783796651353155,7.437148736720182,2.3876891306320585
L6,2.0,4,7.5,4.795831523312719,5.0,0.0,2.0,0.0,4.058539542552098,2.006827165900402,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,3.086625219574826,1.439113788310163,7.5,4.795831523312719,0.999999999998715,9.477116361729718e-13,0.999999999998715,9.477116361729718e-13,4.600154971668316e-11,8.704587876680218e-12,4.600154971668316e-11,8.704587876680218e-12,1.0530170423075647,0.4139745922508428
L6,3.0,4,35.5,23.0,5.0,0.0,3.0,0.0,5.930882300124385,3.442356604849425,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,0.2499999991597375,0.499999998319475,0.25,0.5,0.24999999999823488,0.49999999999646977,0.24999999999823488,0.49999999999646977,1.2632817693284208e-11,2.5265635386568417e-11,1.2632817693284208e-11,2.5265635386568417e-11,0.09408561112079493,0.18817122222193766
L6,4.0,4,4.75,0.5,5.0,0.0,4.0,0.0,3.123635047455376,0.7734414563516061,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,2.5774646893248474,0.8216601170925606,4.75,0.5,0.9999999999986187,3.3716520336481015e-13,0.9999999999986187,3.3716520336481015e-13,1.457125940076863e-11,4.076577406191495e-12,1.457125940076863e-11,4.076577406191495e-12,0.8650093555467602,0.10368991075489782
L6,5.0,4,44.5,2.886751345948129,5.0,0.0,5.0,0.0,6.004985466454814,2.520193164847031,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,0.9917259215248145,1.1602159227985422,14.25,16.700798384109266,0.4754276495281454,0.5489766812913146,0.49999999999999667,0.577350269189622,6.49802389470023e-13,7.781330201522094e-13,0.11084190182280065,0.1279917876123616,6.357662504027244,7.50313481963588
L6,6.0,4,42.0,0.0,5.0,0.0,6.0,0.0,3.7926479544180802,0.5081140129682363,0.95,0.0,0.001,0.0,4.0,0.0,6.0,0.0,1.9830719734803846,0.1956094090636278,32.0,4.242640687119285,0.9517985185776092,0.002345276165185007,0.9999999999999907,3.555603709115559e-15,1.012055304190627e-12,4.493247706477569e-13,0.2194984788753203,0.005403602971120081,10.89488364369678,2.4621519559389986
L8,0.0,4,5.0,0.0,5.0,0.0,0.0,0.0,3.223529877633708,0.4580646245286728,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.6820158907570004,0.5335811530335792,5.0,0.0,1.0,0.0,0.9999974391747362,1.982920312680786e-06,0.0015051637951741894,0.0006274894034633831,0.0015051637951741894,0.0006274894034633831,3612.823468707905,994.1489872142088
L8,1.0,4,42.0,0.0,5.0,0.0,1.0,0.0,4.359838256831124,2.9785992501109204,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.681605706493377,1.9218144640297652,25.0,7.52772652709081,0.9516384911126965,0.0004307848743551714,0.9999999999999857,8.436477549514144e-15,1.3585083462894804e-11,4.862631183956925e-12,0.21991085969445498,0.0009816148157248184,9.157398991467042,2.5641538089063567
L8,2.0,4,12.0,7.52772652709081,5.0,0.0,2.0,0.0,6.544370144804234,3.278538052738439,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.9249943713440025,2.220198007132262,11.5,7.047458170621991,0.9806111704768454,0.02396567611316204,0.9999999999991303,8.958340006883903e-13,9.445552572100443e-11,5.717669073534009e-11,0.0975412526982079,0.11474338641420145,1.4190740845608747,0.6489336734847936
L8,3.0,4,14.0,22.0,5.0,0.0,3.0,0.0,3.108203055558497,2.104939625810926,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.3971876514811434,0.9480263145962915,2.25,1.5,0.7499999999983156,0.499999999998877,0.7499999999983156,0.499999999998877,4.84644933247467e-11,3.2491896542860785e-11,4.84644933247467e-11,3.2491896542860785e-11,0.5099640836030855,0.34792520945857686
L8,4.0,4,3.25,1.2583057392117916,5.0,0.0,4.0,0.0,2.8672239833744753,0.8387018314508982,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.628975452466749,0.654095112792205,3.25,1.2583057392117916,0.9999999999984536,4.574260691146423e-13,0.9999999999984536,4.574260691146423e-13,2.837279974902032e-11,6.78171441837418e-12,2.837279974902032e-11,6.78171441837418e-12,0.8225568454010275,0.11242022163035578
