exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,3.0,0.0,47.0,1.603891891900413e-32,7.029038339063659,1.9532502764728094e-11,0.0,0.0,0.0,0.0,"[7.573002845341641e-12, 4.926889911796394e-12, 3.4526723668502347e-12, 3.4127593648003737e-12, 2.228404032794262e-12, 1.238438915953875e-12, 1.145446589484037e-12, 1.044559069585067e-12]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,4.0,5.0,5.0,3.5042751254840785,4.055098649404441,0.9684138121592968,0.9999999999989337,0.9999999999989337,1.7862627952758005e-11,1.7862627952758005e-11,"[0.41614159647610166, 0.3153598775927551, 0.24367047885553764, 0.23065995467138461, 0.13733925291221522, 6.655858757123867e-12, 3.928915307670718e-12, 2.7988976392306904e-12]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,5.0,25.0,42.0,1.7551737792230222,3.3063729547907714,14.614220253275668,0.9999999999999953,0.950413676225875,0.22267986836290413,1.5520928080719149e-12,"[7.248215762533983, 1.6301193333533686, 1.5181221389543362, 1.479569668356878, 1.4055019615228992, 1.346776928583792, 1.1789285028766685, 1.1095377719483066]"
2a,L6,model_L6.pt,0,5,6,4,0.95,0.001,6.0,26.0,42.0,1.795070934848512,3.4173496186734686,14.354100382253492,0.9999999999999952,0.9509813047638227,0.22140166041873433,1.614338855714436e-12,"[7.081951302156567, 1.6246227132522137, 1.5265357281230456, 1.480409154010458, 1.4024434221309714, 1.3370362853561117, 1.1443764318827017, 1.1231127908630327]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,0.0,5.0,8.0,2.6599005488782113,3.364869004717928,1113.5519818237465,0.9999885241073373,0.9999990892513733,0.003519464566923357,0.0033876086938542894,"[549.9838283098123, 365.41729113463896, 244.3451492238252, 189.8171458367207, 142.71855452482964, 0.8653117866778968, 0.7361662734366615, 0.6745839553831291]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,1.0,34.0,42.0,1.9520680573321747,3.43366006798885,5.587991844079676,0.999999999999968,0.9514298223809573,0.22038642793740884,7.999918260275982e-12,"[2.9431827253263916, 0.9669028528581299, 0.8250632540947178, 0.7040363069880393, 0.642470935942166, 0.6207116616616285, 0.4678517762524754, 0.4065847001453735]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,2.0,3.0,3.0,2.4364512577768336,2.6536730680272087,0.6337742028817965,0.9999999999975104,0.9999999999975104,5.7895986334485723e-11,5.7895986334485723e-11,"[0.02695143038072871, 0.02121884100037107, 0.01377914473272689, 2.6749035905746888e-12, 2.0638701810634684e-12, 1.7857005985954832e-12, 1.3540431474628129e-12, 1.0836365085632544e-12]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,3.0,0.0,47.0,1.3597334622466903e-34,6.688579226686714,5.087206218840103e-12,0.0,0.0,0.0,0.0,"[2.403364372928712e-12, 1.5024981194596913e-12, 9.383517973666008e-13, 8.589238002354194e-13, 5.401348605650331e-13, 4.994783214342325e-13, 3.6391757368538306e-13, 3.2176500020537035e-13]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,4.0,5.0,5.0,1.7619773398599443,2.310582346773609,0.9340017762256944,0.9999999999988537,0.9999999999988537,1.2648370325530504e-11,1.2648370325530504e-11,"[0.1960172789595724, 0.09510324520465716, 0.05994094319864351, 0.03454647386203153, 0.019630856064246326, 1.863836276870334e-12, 1.3179166126261365e-12, 7.440212821982104e-13]"
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,5.0,0.0,47.0,1.0575927978225295e-34,7.801764595607146,4.772550226090381e-12,0.0,0.0,0.0,0.0,"[2.186865547338765e-12, 1.4021908639348587e-12, 8.798224316101416e-13, 7.036065778626265e-13, 5.985031347122544e-13, 5.383886618947081e-13, 3.603293631867634e-13, 3.4835355860730365e-13]"
